Alpha,Beta,Delta,Epsilon,EP,Ductal,Pre-endocrine
Tmem27,Gng12,Rbp4,Ghrl,Neurog3,Dbi,Fev
Pcsk1n,Mafb,Hhex,Isl1,Btbd17,Cldn3,Hmgn3
Cpe,Pdx1,Cd24a,Maged2,Sox4,Anxa2,Map1b
Ttr,Pcsk2,Pyy,Rbp4,Gadd45a,Spp1,Chga
Gpx3,Iapp,Sst,Anpep,Mdk,Bicc1,Bex2
Meis2,Nnat,Arg1,Arg1,Smarcd2,Mt1,Emb
Tspan7,1700086L19Rik,Hadh,Fam183b,Tmsb4x,Mgst1,Prrg2
Pyy,Rbp4,Gpx3,Card19,Hes6,Ldha,Runx1t1
Slc38a5,Tuba1a,Dlk1,Lrpprc,Btg2,1700011H14Rik,Cldn4
Rnf130,Scgn,Isl1,Mboat4,Ppp1r14a,Nudt19,Cryba2
Smarca1,Rap1b,Iapp,Arx,Cotl1,Adamts1,Tm4sf4
Zcchc18,Ociad2,Fam183b,Gnptg,Cbfa2t3,Cyr61,Chgb
BC048546,1110008P14Rik,Klhdc8b,Cdkn1a,Foxa3,Wfdc2,Cck
Peg10,Dbpht2,Mest,Irx2,Selm,Sox9,Celf3
Abcc8,Hadh,Cd200,Gm11837,Amotl2,Gsta3,Ffar2
Arx,Scg3,Auts2,Cck,Cdk2ap1,Clu,BC023829
Tmsb15l,Ppp1r1a,Pcsk2,Alcam,Cdc14b,Phgdh,Pax6
Sphkap,Dlk1,Gch1,Pam,Gpx2,Vim,Rgs17
Gcg,Tubb2a,Hmgn3,Scg2,Grasp,Sparc,1110012L19Rik
Pcsk2,Pcsk1n,Ramp1,Cxxc4,Rcor2,Cldn10,Gch1
Fam183b,Chga,Frzb,Serpina1e,Sult2b1,Smtnl2,Pax4
Irx2,Pyy,1700086L19Rik,Slc38a5,Tead2,Ccnd1,Cpe
Pam,Chgb,Scg2,Ghr,Ttc28,Ptn,Pdk3
Dbpht2,Papss2,Ppp1r14c,Tmem27,Neurod2,Galk1,Ids
Iapp,Tspan7,1500009L16Rik,Gm43194,Mfng,Hes1,Gm43861
Tmsb15b2,Cryba2,Ghr,Nap1l5,Dbn1,S100a16,Cacna2d1
Irx1,Fam183b,Kctd8,Irx1,Gdpd1,Psat1,Pou3f4
Rbp4,Abcc8,Th,Fhl2,Pax4,Dcdc2a,Tekt2
Scg3,Cpe,Fam159b,Jam3,Cdkn1a,Ppp1r1b,Fam43a
Scgn,Pak3,Igfbp5,Pyy,Igfbpl1,Hpgd,St18
Dusp10,Ins2,Tspan12,Cpn1,Tubb3,Tst,Pcyt1b
Etv1,Cnih2,Fam46a,Gng4,Trp53i11,Rest,Flrt1
Isl1,Pcsk1,Rnf138rt1,Nudt11,Shf,Trip6,Serpini1
